110000100010 D' L U2 F' 
110000100100 D L U2 F' 
101001010000 R2 D' U2 F' 
100001110011 B' D' U2 F' 
100011100011 B D' U2 F' 
100000100110 L' D' U2 F' 
100001000110 R D U2 F' 
100001110101 B' D U2 F' 
100011100101 B D U2 F' 
110010100000 L2 D U2 F' 
101010110001 B' F' U F' 
101111110001 B' F2 U F' 
001110100000 L2 F2 U F' 
000001010000 R' F U F' 
101011010001 B' F U F' 
000011011011 B' R2 U F' 
000011001010 B2 R2 U F' 
100011011010 B R2 U F' 
000000011110 L' R2 U F' 
000010011010 L2 R2 U F' 
010000011010 L R2 U F' 
000001010011 D' R2 U F' 
100011111011 B' R U F' 
000000101110 L' R U F' 
101011101011 R B' U F' 
111000111101 L' B' U F' 
101011110110 D' B' U F' 
101010111101 B' L' U F' 
001000100011 D2 L' U F' 
001000100101 D L' U F' 
001111000000 F2 L2 U F' 
101010111000 B' L2 U F' 
001010111001 B L2 U F' 
001010100010 D' L2 U F' 
001010100100 D L2 U F' 
100100101000 U' L U F' 
111010111001 B' L U F' 
011000100010 D' L U F' 
011000100001 D2 L U F' 
011000100100 D L U F' 
001001110000 R' D' U F' 
000001110010 R D' U F' 
101011110011 B' D' U F' 
001000100110 L' D' U F' 
101011100001 B' D2 U F' 
101001110001 B D2 U F' 
000001010110 R2 D U F' 
101011110101 B' D U F' 
011010100000 L2 D U F' 
101010001011 F' R' B' F' 
101110101011 F2 R' B' F' 
101110000011 F R' B' F' 
011111001011 U' R' B' F' 
110111001011 U2 R' B' F' 
101101001010 B' R' B' F' 
101101011011 B2 R' B' F' 
001101001011 B R' B' F' 
111100001111 L' R' B' F' 
101111000111 D' R' B' F' 
101111001101 D2 R' B' F' 
101111001110 D R' B' F' 
011010110001 F' U' B' F' 
011111110001 F2 U' B' F' 
011011010001 F U' B' F' 
010011111011 R2 U' B' F' 
011011101011 R U' B' F' 
011011101000 B' U' B' F' 
111011111000 B2 U' B' F' 
011001111000 B U' B' F' 
011001111101 L' U' B' F' 
001011111101 L2 U' B' F' 
011010111101 L U' B' F' 
011011110110 D' U' B' F' 
110100010101 F' L' B' F' 
110101011101 F2 L' B' F' 
110000011101 F L' B' F' 
101100111101 U2 L' B' F' 
011100111101 U L' B' F' 
010100101101 B' L' B' F' 
110110101101 B2 L' B' F' 
110100101100 B L' B' F' 
110100111110 D' L' B' F' 
110100111011 D2 L' B' F' 
110100110111 D L' B' F' 
100011010110 F' D' B' F' 
100011111110 F2 D' B' F' 
100010110110 F D' B' F' 
101111100110 R' D' B' F' 
101111110100 R2 D' B' F' 
000101110110 B' D' B' F' 
000111110111 B2 D' B' F' 
000111100110 B D' B' F' 
110110110110 L' D' B' F' 
110111110010 L2 D' B' F' 
110101110110 L D' B' F' 
010000000100 U' F' L' F' 
100110010101 B' F' L' F' 
100010011101 B' F L' F' 
000001001000 L F L' F' 
011000001100 R' U' L' F' 
000011101000 L' U' L' F' 
010000100011 D2 U' L' F' 
010000100101 D U' L' F' 
101110001111 R' B' L' F' 
100110111110 D' B' L' F' 
100110110111 D B' L' F' 
100110100011 B' D2 L' F' 
100100110011 B D2 L' F' 
100110100101 B' D L' F' 
100100110101 B D L' F' 
000010000001 D2 F L2 F' 
101110001010 R' B' L2 F' 
011010111000 U' B' L2 F' 
110100111000 L' B' L2 F' 
100101111000 L2 B' L2 F' 
100100111100 L B' L2 F' 
100110110010 D' B' L2 F' 
100110110001 D2 B' L2 F' 
100110110100 D B' L2 F' 
001110001011 R' B L2 F' 
010100111001 L' B L2 F' 
000100111101 L B L2 F' 
000110110110 D' B L2 F' 
001110010000 R2 D' L2 F' 
000110110011 B D' L2 F' 
000110000110 R D L2 F' 
000110110101 B D L2 F' 
110110010001 B' F' L F' 
110010011001 B' F L F' 
101000111001 B' U2 L F' 
101010101001 B U2 L F' 
101000100010 D' U2 L F' 
101000100001 D2 U2 L F' 
101000100100 D U2 L F' 
111110001011 R' B' L F' 
011110111001 U B' L F' 
011100010000 R2 D' L F' 
110110110011 B' D' L F' 
110110100001 B' D2 L F' 
110100110001 B D2 L F' 
010100000110 R D L F' 
110110110101 B' D L F' 
000111100000 L' D L F' 
100011010011 B' F' D' F' 
000000000110 L' F' D' F' 
100010110011 B' F D' F' 
001111010001 B' R2 D' F' 
101111010000 B R2 D' F' 
001100010100 L' R2 D' F' 
101111100011 R' B' D' F' 
011011110011 U' B' D' F' 
010000100110 U' L' D' F' 
000100101001 D' L' D' F' 
011011100001 U' B' D2 F' 
110100100101 L' B' D2 F' 
100111100100 D' B' D2 F' 
100111100010 D B' D2 F' 
101101000011 R' B D2 F' 
011001110001 U' B D2 F' 
100101110100 D' B D2 F' 
100101110010 D B D2 F' 
100011010101 B' F' D F' 
100010110101 B' F D F' 
001001000110 U R D F' 
010110000010 L2 R D F' 
000101001001 D' R D F' 
011011110101 U' B' D F' 
110101110101 L B' D F' 
110110110000 B' L2 D F' 
010110110001 B L2 D F' 
100101101010 B' F' R' B' 
100101111011 B2 F' R' B' 
000101101011 B F' R' B' 
110100101111 L' F' R' B' 
100111100111 D' F' R' B' 
100111101101 D2 F' R' B' 
100111101110 D F' R' B' 
001111101011 F' U' R' B' 
000010110001 R' U' R' B' 
101000010010 B2 U' R' B' 
001000010011 B U' R' B' 
011000000011 L' U' R' B' 
001000000111 L U' R' B' 
001010000101 D' U' R' B' 
000010001011 F2 U2 R' B' 
000110101011 F U2 R' B' 
100110000010 B' U2 R' B' 
100100010010 B2 U2 R' B' 
010111101011 F' U R' B' 
110010000010 B' U R' B' 
010000010011 B U R' B' 
000001000111 L2 U R' B' 
000010000111 L U R' B' 
010010000101 D' U R' B' 
010010001100 D2 U R' B' 
100000000001 D' B' R' B' 
110101101011 F' L' R' B' 
101000000011 U' L' R' B' 
110000000101 D' L' R' B' 
100001101011 F' L2 R' B' 
100101100011 F L2 R' B' 
100101101111 F' L R' B' 
010000000111 U L R' B' 
100000001101 D' L R' B' 
100000001011 D L R' B' 
100110101100 F' D2 R' B' 
100110000100 F2 D2 R' B' 
100111001100 F D2 R' B' 
000000011101 B2 D2 R' B' 
000010001101 B D2 R' B' 
100110101010 F' D R' B' 
000000011011 B2 D R' B' 
001011000001 U' F2 R2 B' 
